name,title,lobbyist_type,client,lobbyist_status,start_date,end_date,lobbyist_street_address_1,lobbyist_street_address_2,lobbyist_city,lobbyist_region,lobbyist_country,lobbyist_postal_code,client_street_address_1,client_street_address_2,client_city,client_region,client_country,client_postal_code,subject_matter_category,subject_matter_status,activity_description,public_office_holders
Aleem  Kanji,Principal,Consultant,AleemKanji.com,Active,2021-11-24,2022-11-24,1535 Lakeshore Rd East.,Suite 305,Mississauga,ON,Canada,L5E 3E2,PO Box 1238,,Aldergrove,BC,Canada,V4W 2V1,By-law/Regulation,Active,"Fair access and the safe use of all fireworks through education, advocacy with regulators and member compliance.","[{'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Sarah Dickson,Consultant,Consultant,Hill+Knowlton Strategies,Active,2021-11-24,2022-11-24,160 Bloor Street East,Suite 800,Toronto,ON,Canada,M4W 3P7,200 Bay Street,Suite 2400,Toronto,ON,Canada,M5J 2J1,Transit,Active,We will be assisting Interac with engaging with the City of Hamilton regarding transit payments modernization.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}]"
Murray Costello,,In-house,Enbridge Gas Inc,,2021-11-22,2022-11-22,,,,,,,603 Kumpf Drive,,Waterloo,ON,Canada,N2J4A4,Infrastructure,Active,"Providing senior staff, councilors, and Mayor with information on Enbridge Gas projects and activities in the city of Hamilton.","[{'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}]"
John Matheson,Principal/Legal Counsel,Consultant,StrategyCorp Inc.,Active,2021-11-10,2022-11-10,145 King Street,2nd Floor,Toronto,ON,Canada,M5C 2Y7,301 Fruitland Road,Unit 10,Stoney Creek,ON,Canada,L8E 5M1,Planning and Development - Planning Policy,Active,Discussion regarding planned updates to the City of Hamilton’s growth management strategy as part of GRIDS 2.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Daniel Bordonali,,In-house,Sutherland Corp,Active,2021-11-10,2022-06-11,"8500 Leslie St, Unit 390",,Thornhill,ON,Canada,L3T 7M8,"9160, Boulevard Leduc, Suite 510",,Brossard,QC,Canada,J4Y 0E3,Transit,Active,Hamilton LRT,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Ana Salvagna,Consultant,Consultant,StrategyCorp,Active,2021-11-08,2022-11-08,145 King Street,2nd Floor,Toronto,ON,Canada,M5C 2Y7,301 Fruitland Road,Unit 10,Stoney Creek,ON,Canada,L8E 5M1,Planning and Development - Planning Policy,Active,Discussion regarding planned updates to the City of Hamilton’s growth management strategy as part of GRIDS 2.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Brian Lennie,"Senior Advisor, Municipal Affairs",In-house,Enbridge Gas Inc.,Active,2021-10-25,2022-10-25,50 Keil Drive North,,Chatham,ON,Canada,N7M5M1,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,Infrastructure,Active,Providing senior staff with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}]"
Matthew McArthur,Medical Student,Volunteer,Matthew McArthur,Active,2021-10-26,2021-10-30,129 Bowman St,,Hamilton,ON,Canada,L8S 2T7,129 Bowman St,,Hamilton,ON,Canada,L8S 2T7,Environment,Expired,meeting to discuss climate change / environment as part of mcmaster medical student delegation,"[{'name': 'Danko, John-Paul', 'title': 'Councillor'}]"
Tyler Pearson,Managing Partner,In-house,Malleum Partners,Active,2021-10-06,2022-10-06,15 Wellington St N,Unit 203,Hamilton,ON,Canada,L8R 1M7,15 Wellington St N,Unit 203,Hamilton,ON,Canada,L8R 1M7,Affordable Housing,Active,"Discussion of Hamilton grant programs, affordable housing initiatives, property standards issues, and local tenant issues","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Gregory Clewer,Managing Partner,In-house,Malleum Partners,Active,2021-10-08,2022-10-08,15 Wellington St N,Unit 203,Hamilton,ON,Canada,L8R 1M7,15 Wellington St N,Unit 203,Hamilton,ON,Canada,L8R 1M7,Affordable Housing,Active,"Discussion of Hamilton grant programs, affordable housing initiatives, property standards issues, and local tenant issues","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
